"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"234",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"235",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"236",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"237",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"238",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"239",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"240",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"241",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"242",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"243",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
